Comment,Designator,Footprint,LCSC
100nF,"C1,C2,C3",C_0402_1005Metric,C1525
CN1,J1,PinSocket_2x08_P2.54mm_Vertical,C68234
APS12808L-3OBM-BA,U2,APS12808L-3OBM-BA,C5197285
